source,series,author,english_title,original_title,translator,pub_year,place,publisher,country,original_year,era,canonical_author,canonical_work
UNESCO Index Translationum,,Petrus Lombardus,The Sentences,Sententiae in IV libris distinctae,"Silano, Giulio",2007,Toronto,Pontifical Institute of Mediaeval Studies,Canada,1160,medieval,Peter Lombard,Sentences
UNESCO Index Translationum,,"Constable, Giles",Three treatises from Bec on the nature of monastic life,,"Smith, Bernard S.",2007,Toronto,University of Toronto Press,Canada,1070,medieval,Various Authors,Three Treatises from Bec on Monastic Life
UNESCO Index Translationum,,Geoffrey of Vinsauf,Poetria nova,,"Nims, Margaret F.",2007,Toronto,Pontifical Institute of Mediaeval Studies,Canada,1210,medieval,Geoffrey of Vinsauf,Poetria nova
UNESCO Index Translationum,,"Glavičić, Branimir; Gortan, Veljko; Vratović, Vladimir",Opsada Zadra,Obsidio Iadrensis,"Budeč, Goran; Ladić, Zoran; Suff, Matthew",2007,Zagreb,Hrvatska akademija znanosti i umjetnosti,Croatia,1265,medieval,Branimir Glavičić et al.,Opsada Zadra
UNESCO Index Translationum,,"Flora, Carmel; Murray, Campion; Patrick Colbourne, Paul; Winter",The holy agreement between Saint Francis and Lady Poverty : translation and reflections on the Sacrum commercium,Sacrum commercium sancti Francisci cum domina Paupertate,,2001,Orewa,Catholic Publications Centre,New Zealand,1230,medieval,Unknown,Sacrum commercium Sancti Francisci cum Domina Paupertate
UNESCO Index Translationum,,"Bartelink, Gerard J.M.",ABC van gevleugelde woorden : wijsheid uit de oudheid; ABC of famous words from Greek and Roman antiquity,,"Traas, Ko",2002,Dongen,Vrienden van het Gymnasium,Netherlands,1995,modern,Gerard J.M. Bartelink,ABC van gevleugelde woorden
UNESCO Index Translationum,,"Göransson, Elisabet",Letters  of a learned lady : Sophia Elisabeth Brenner's correspondence,,,2006,Stockholm,Almqvist &amp; Wiksell International,Sweden,1700,early_modern,Sophia Elisabeth Brenner,Letters
UNESCO Index Translationum,,Ignacio de Loyola,The spiritual exercises of St Ignatius : Prayer book for retreats of St Joseph de Clairval Abbey,Exercitia spiritualia,,2007,Flavigny-sur-Ozerain,Traditions monastiques,France,1548,renaissance,Ignatius of Loyola,Spiritual Exercises
UNESCO Index Translationum,,"Hobbes, Thomas; Wilson, Paul; Springborg, Patricia; Stäblein, Patricia Harris",Historia ecclesiastica,,,2008,Paris,H. Champion,France,1640,early_modern,Thomas Hobbes,Historia ecclesiastica
UNESCO Index Translationum,,"Vergilius Maro, Publius",The Aeneid of Virgil : a verse translation,Aeneid,"Mandelbaum, Allen",1981,London,University of California Press,United Kingdom,-29,classical,Virgil,Aeneid
UNESCO Index Translationum,,Joannes Paulus II,"Encyclical Laborem exercens : addressed by the supreme pontif John Paul II to his venerable brothers in the episcopate, to the priests, to the religious families, to the sons and daughters of the church and to all men and women of good will on human work on the ninetieth anniversary of rerum navarum.",Laborem exercens,,1981,London,Incorporated Catholic Truth Society,United Kingdom,1981,early_modern,John Paul II,Laborem exercens
UNESCO Index Translationum,,"Hall, Joseph",Another world and yet the same : Bishop Joseph Hall's Mundus alter et idem,Mundus alter et idem,"Wands, John Millar",1981,London,Yale University Press,United Kingdom,1605,renaissance,Joseph Hall,Mundus alter et idem
UNESCO Index Translationum,,"Persius Flaccus, Aulus",The satires of Persius,Satirae,"Merwin, W. S.",1981,London,Anvil Press Poetry,United Kingdom,34,classical,Persius,Satires
UNESCO Index Translationum,,,Egeria's travels to the Holy Land,,"Wilkinson, John",1981,Warminster,Aris &amp; Phillips,United Kingdom,381,classical,Egeria,Itinerarium (Travels to the Holy Land)
UNESCO Index Translationum,,Aelredus Rievallensis,Dialogue on the soul,De anima,"Talbot, C. H.",1981,Oxford,Mowbray,United Kingdom,1150,medieval,Aelred of Rievaulx,Dialogue on the Soul
UNESCO Index Translationum,,"Ferguson, John; Chisholm, Kitty",Rome : the Augustan Age : a source book.,,,1981,Oxford,Oxford University Press,United Kingdom,-27,classical,Augustus,Rome: The Augustan Age
UNESCO Index Translationum,,Hildegardis,Hildegard's healing plants : from her medieval classic Physica,,"Hozeski, Bruce W.",2001,"Boston, MASS",Beacon Press,United States of America,1150,medieval,Hildegard of Bingen,Physica
UNESCO Index Translationum,,"Catholica Romana Ecclesia, George F.; McLean","Faith, reason, and philosophy : lectures at the al-azhar, Qum, Tehran, Lahore, and Beijing",,,2000,"Washington, D.C.",Council for Research in Values and Philosophy,United States of America,2000,modern,George F. McLean,"Faith, Reason, and Philosophy: Lectures at Al-Azhar, Qum, Tehran, Lahore, and Beijing"
UNESCO Index Translationum,,Augustinus Aurelius,The city of God,De civitate Dei,"Dods, Marcus",2000,New York,Modern Library,United States of America,426,classical,Augustine of Hippo,The City of God
UNESCO Index Translationum,,"Joannes Paulus II, Thomas Paul; Thigpen",Celebrate the third millennium : facing the future with hope,,,2000,"Thorndike, ME",G.K. Hall,United States of America,2000,modern,John Paul II,Celebrate the Third Millennium
UNESCO Index Translationum,,Thomas Aquinas,The De malo of Thomas Aquinas,Quaestiones disputatae de malo,"Regan, Richard J.",2001,New York,Oxford University Press,United States of America,1272,medieval,Thomas Aquinas,De malo (On Evil)
UNESCO Index Translationum,,Johannes Scotus Eriugena,The voice of the eagle : the heart of Celtic Christianity : John Scotus Eriugena's Homily on the prologue to the Gospel of St. John,Homilia in prologum Sancti Evangelii secundum Joannem,"Bamford, Christopher",2000,"Great Barrington, MASS",Lindisfarne Books,United States of America,800,medieval,John Scotus Eriugena,Homily on the Prologue to the Gospel of John
UNESCO Index Translationum,,"Brandolini, Raffaele Lippo",On music and poetry,De musica et poetica,"Laureys, Marc; Moyer, Ann E.",2001,"Tempe, ARIZ",Arizona Center for Medieval and Renaissance Studies,United States of America,1484,renaissance,Raffaele Lippo Brandolini,On Music and Poetry
UNESCO Index Translationum,,"Green, Monica Helen",The Trotula : a medieval compendium of women's medicine,,"Green, Monica Helen",2001,"Philadelphia, PA",University of Pennsylvania Press,United States of America,1150,medieval,Unknown,Trotula: A Medieval Compendium of Women's Medicine
UNESCO Index Translationum,,Augustinus Aurelius,The confessions of St. Augustine,Confessiones,"Warner, Rex",2001,New York,Signet Classics,United States of America,397,classical,Augustine of Hippo,Confessiones
UNESCO Index Translationum,,"Bruni, Leonardo",History of the Florentine people,Historiae Florentini populi,"Hankins, James",2001,"Cambridge, MASS",Harvard University Press,United States of America,1442,renaissance,Leonardo Bruni,History of the Florentine People
UNESCO Index Translationum,,"Ficino, Marsilio",Platonic theology,Theologica Platonica,"Warden, John; Allen, Michael J. B.",2001,"Cambridge, MASS",Harvard University Press,United States of America,1482,renaissance,Marsilio Ficino,Platonic Theology
UNESCO Index Translationum,,"Vesalius, Andreas",On the fabric of the human body (III:) The veins and arteries; (IV:) The nerves : a translation of De humana corporis fabrica libri septem,De humani corporis fabrica,"Carman, John Burd; Richardson, William Frank",2002,"San Anselmo, CALIF",Norman Pub.,United States of America,1555,renaissance,Andreas Vesalius,De humana corporis fabrica
UNESCO Index Translationum,,"Joannes Paulus II, Joseph G.; Donders",John Paul II : the encyclicals in everyday language,,,2001,"Maryknoll, N.Y.",Orbis Books,United States of America,1985,early_modern,John Paul II,The Encyclicals in Everyday Language
UNESCO Index Translationum,,Anselmus Cantuariensis,Complete philosophical and theological treatises of Anselm of Canterbury,,"Hopkins, Jasper; Richardson, Herbert Warren",2000,"Minneapolis, MINN",A.J. Banning Press,United States of America,1077,medieval,Anselm of Canterbury,Complete Philosophical and Theological Treatises
UNESCO Index Translationum,,"Catholica Romana Ecclesia, John E.; Rotelle",Little office of the Blessed Virgin Mary,,,1988,New York,Catholic Book Pub. Co.,United States of America,1700,early_modern,Catholic Church,Little Office of the Blessed Virgin Mary
UNESCO Index Translationum,,"Swedenborg, Emanuel","Heaven and hell, also the world of spirits or intermediate state",De ebelo et ejus miexbilius,,1907,"Boston, MASS",Swedenborg printing bureau,United States of America,1758,early_modern,Emanuel Swedenborg,Heaven and Hell
UNESCO Index Translationum,,Thomas à Kempis,Of the imitation of Christ : four books,Imitatio Christi,,1870,"Philadelphia, PA",Porter and Coates,United States of America,1420,renaissance,Thomas à Kempis,Imitation of Christ
UNESCO Index Translationum,,Thomas à Kempis,The following of Christ in four books,Imitatio Christi,"Challoner, Richard",,"Baltimore, MD",Fielding Lucas,United States of America,1420,renaissance,Thomas à Kempis,Imitation of Christ
UNESCO Index Translationum,,"Bacon, Francis; Weinberger, Jerry",The great instauration; New Atlantis,Instauratio magna,,1980,"Arlington Heights, ILL",AHM Publishing Corporation,United States of America,1620,early_modern,Francis Bacon,The Great Instauration and New Atlantis
UNESCO Index Translationum,,"Hobbes, Thomas; Hungerland, Isabel Payson Creed; Vick, George R.",Logic,"Computatio, sive, Logica","Martinich, Aloysius",1981,New York,Abaris Books,United States of America,1655,early_modern,Thomas Hobbes,Logic
UNESCO Index Translationum,,"Bernard de Clairvaux, Hugh; Martin","On loving God, and selections from sermons",,,1981,"Westport, CONN",Greenwood Press,United States of America,1125,medieval,Bernard of Clairvaux,On Loving God and Selected Sermons
UNESCO Index Translationum,,"Joannes Paulus II, George T.; Czuczka, Alfred; Bloch",Toward a philosophy of praxis : an anthology,,,1981,New York,Crossroad,United States of America,1981,early_modern,John Paul II,Toward a Philosophy of Praxis
UNESCO Index Translationum,,Benedictus,RB 1980 : the Rule of St. Benedict in Latin and English with notes and thematic index,Regula,,1981,"Collegeville, MINN",Liturgical Press,United States of America,480,medieval,Benedict of Nursia,Rule of Saint Benedict
UNESCO Index Translationum,,"Joannes Paulus II, Tony; Castle",Through the year with Pope John Paul II : readings for every day of the year,,,1981,New York,Crossroad,United States of America,2000,modern,John Paul II,Through the Year with Pope John Paul II
UNESCO Index Translationum,,"Augustinus Aurelius, Paula Fredriksen; Landes","Augustine on Romans : Propositions from the Epistle to the Romans, Unfinished commentary on the Epistle to the Romans",Expositio quarundam propositionum ex epistola ad Romanos,,1982,"Chico, CALIF",Scholars Press,United States of America,426,classical,Augustine,Augustine on Romans
UNESCO Index Translationum,,"Hermes Trismegistus, Walter; Scott",Hermetica : the ancient Greek and Latin writings which contain religious or philosophic teachings ascribed to Hermes Trismegistus,Corpus hermeticum,,1982,"Boulder, COLO",Hermes House,United States of America,400,classical,Hermes Trismegistus,Hermetica
UNESCO Index Translationum,,"Joannes Paulus II, Kathryn; Spink",The things of the spirit,,,1982,"San Francisco, CALIF",Harper &amp; Row,United States of America,2001,modern,John Paul II,The Things of the Spirit
UNESCO Index Translationum,,"Vergilius Maro, Publius",The Aeneid,Aeneis,"Fitzgerald, Robert",1983,New York,Random House,United States of America,-29,classical,Virgil,Aeneid
UNESCO Index Translationum,,Eckhart,Treatises and sermons of Meister Eckhart,,"Clark, James Midgley; Skinner, John V.",1983,New York,Octagon Books,United States of America,1330,medieval,Meister Eckhart,Treatises and Sermons
UNESCO Index Translationum,,Thomas Aquinas,Treatise on happiness,Summa theologica,"Oesterle, John A.",1983,"Notre Dame, IND",University of Notre Dame Press,United States of America,1272,medieval,Thomas Aquinas,Treatise on Happiness
UNESCO Index Translationum,,Prosdocimus de Beldemandis,Counterpoint,Contrapunctus,"Herlinger, Jan W.",1984,"Lincoln, NEBR",University of Nebraska Press,United States of America,1410,renaissance,Prosdocimus de Beldemandis,Counterpoint
UNESCO Index Translationum,,Cyprianus,The letters of St. Cyprian of Carthage,,"Clarke, G. W.",1984,New York,Newman Press,United States of America,258,classical,Cyprian of Carthage,Letters
UNESCO Index Translationum,,"Ellsworth, Oliver B.","The Berkeley manuscript : University of California Music Library, ms. 744 (olim Phillipps 4450)",,,1984,"Lincoln, NEBR",University of Nebraska Press,United States of America,1430,renaissance,Unknown,Berkeley Manuscript
UNESCO Index Translationum,,"Vergilius Maro, Publius",The Aeneid,Aeneis,"Fitzgerald, Robert",1985,New York,Vintage Books,United States of America,-29,classical,Virgil,Aeneid
UNESCO Index Translationum,,Augustinus Aurelius,The political writings of St. Augustine,,,1985,"Chicago, ILL",Gateway Editions,United States of America,426,classical,Augustine,Political Writings
UNESCO Index Translationum,,Hermes Trismegistus,"Hermetica : the ancient Greek and Latin writings which contain religious or philosophic teachings ascribed to Hermes Trismegistus (1:) Introduction, texts, and translation; (2:) Notes on the Corpus Hermeticum; (3:) Notes on the Latin Asclepius and the Hermetic excerpts of Stobaeus; (4:) Testimonia  with introduction, addenda and indices by A.S. Ferguson",Corpus hermeticum,,1985,"Boston, MASS",Shambhala,United States of America,400,classical,Hermes Trismegistus,Hermetica
UNESCO Index Translationum,,"Cicero, Marcus Tullius",Cicero on oratory and orators,De oratore,"Watson, J. S.",1986,"Carbondale, ILL",Southern Illinois University Press,United States of America,-54,classical,Cicero,On Oratory and Orators
UNESCO Index Translationum,,Hildegardis,Meditations with Hildegard of Bingen,De operatione Dei; Liber vitae meritorum,"Uhlein, Gabriele",1982,"Santa Fe, N.M.",Bear &amp; Co.,United States of America,1150,medieval,Hildegard of Bingen,Meditations with Hildegard of Bingen
UNESCO Index Translationum,,"Catholica Romana Ecclesia, Thomas; Lynch, Valerie Vance; Dillon",A Positive vision for family life : a resource guide for Pope John Paul II's apostolic exhortation Familiaris consortio,,,1985,"Washington, D.C.",United States Catholic Conference,United States of America,1981,early_modern,John Paul II,Familiaris consortio
UNESCO Index Translationum,,"Bacon, Francis; Weinberger, Jerry",The great instauration; New Atlantis,Instauratio magna,,1986,"Arlington Heights, ILL",Harlan Davidson,United States of America,1620,early_modern,Francis Bacon,The Great Instauration and New Atlantis
UNESCO Index Translationum,,"Willelmus Tyrensis, Mary Noyes; Colvin","Godeffroy of Boloyne, or, The siege and conqueste of Jerusalem",Historia rerum in partibus transmarinis gestarum,"Caxton, William",1987,"Millwood, N.Y.",Kraus Reprint,United States of America,1100,medieval,William of Tyre,Gesta Francorum (History of the Crusades)
UNESCO Index Translationum,,"Joannes Paulus II, Tony; Castle",The light of Christ : meditations for every day of the year,,,1987,New York,Crossroad,United States of America,2000,modern,John Paul II,The Light of Christ
UNESCO Index Translationum,,Augustinus Aurelius,Tractates on the Gospel of John,In Joannis Evangelium tractatus,"Rettig, John W.",1988,"Washington, D.C.",Catholic University of America Press,United States of America,400,classical,Augustine,Tractates on the Gospel of John
UNESCO Index Translationum,,"Alfred, Henry; Gregorius I; Sweet",King Alfred's West-Saxon version of Gregory's Pastoral care,Regula pastoralis,,1988,"Millwood, N.Y.",Kraus Reprint,United States of America,890,medieval,Alfred the Great and Gregory I,Pastoral Care
UNESCO Index Translationum,,Petrus Damiani,Letters (1:) 1-30 ; (2:) 31-60 ; (3:) 61-90 ; (5:) 91-120 ; (6:) 121-150 ; (7:) 151-180,,"Blum, Owen J.",1989,"Washington, D.C.",Catholic University of America Press,United States of America,1063,medieval,Peter Damian,Letters
UNESCO Index Translationum,,"Cicero, Marcus Tullius",Cicero's letters to his friends,Epistolae ad familiares,"Bailey, D. R. Shackleton",1988,"Atlanta, Ga.",Scholars Press,United States of America,-50,classical,Cicero,Letters to His Friends
UNESCO Index Translationum,,"Swedenborg, Emanuel",The spiritual life and the word of God,Apocalypsis explicata secundum sensum spiritualem,,1983,New York,Swedenborg Foundation,United States of America,1770,early_modern,Emanuel Swedenborg,The Spiritual Life and the Word of God
UNESCO Index Translationum,,"Augustinus Aurelius, John E.; Rotelle","The works of Saint Augustine : a translation for the 21st century ( 1/1:) The confessions; (1/5:) The Trinity; (1/8:) On Christian belief; (1/11:) Teaching Christianity; (1/25 - 2/1:) Letters 1-99; (2/2:)  Letters - Epistulae, 100-155; (2/3:)  Letters - Epistulae, 156-210; (2/4:) Letters - Epistulae, 211-270, 1-29; (3/1:) Sermons on the Old Testament, 1-19; (3/2:) Sermons on the Old Testament, 20-50; (3/3:) Sermons on the New Testament, 51-94; (3/4:) Sermons on the New Testament, 94A-147A; (3/5:) Sermons on the New Testament, 148-183; (3/6:) Sermons on the liturgical seasons, 184-229; (3/7:) Sermons on the liturgical seasons, 230-272B; (3/8:) Sermons on the saints, 273-305A; (3/9:) Sermons on the saints, 306-340A; (10:) Sermons on various subjects, 341-400; (3/15:) Expositions of the Psalms, 1-32; (3/16:) Expositions of the Psalms, 33-50; (3/17:) Expositions of the Psalms, 51-72; (3/18:) Expositions of the Psalms, 73-98; (3/19:) Expositions of the Psalms = Enarrationes in Psalmos, 99-120; (3/20:) Expositions of the Psalms - Enarrationes in Psalmos, 121-150.",,"Hill, Edmund",1990,"Brooklyn, N.Y.",New City Press,United States of America,426,classical,Augustine,Complete Works
UNESCO Index Translationum,,Bernard de Clairvaux,Homilies in praise of the Blessed Virgin Mary,Homiliae in laudibus Virginis Matris,"Saïd, Marie-Bernard",1993,"Kalamazoo, MICH",Cistercian Publications,United States of America,1130,medieval,Bernard of Clairvaux,Homilies in Praise of the Blessed Virgin Mary
UNESCO Index Translationum,,Thomas Aquinas,An introduction to the metaphysics of St. Thomas Aquinas : texts,,"Anderson, James F.",1989,"Washington, D.C.",Regnery Gateway,United States of America,1272,medieval,Thomas Aquinas,Metaphysics
UNESCO Index Translationum,,"Fitz Stephen, William",Norman London,Descriptio nobilissimae civitatis Londoniae,,1990,New York,Italica Press,United States of America,1191,medieval,William Fitz Stephen,Norman London
UNESCO Index Translationum,,Eckhart,Breakthrough : Meister Eckhart's creation spirituality in new translation,,,1991,New York,Doubleday,United States of America,1330,medieval,Meister Eckhart,Breakthrough: Creation Spirituality
UNESCO Index Translationum,,"Gamer, Helena M.; McNeill, John T.",Medieval handbooks of penance : a translation of the principal &quot;libri poenitentiales&quot; and selections from related documents,,,1990,New York,Columbia University Press,United States of America,800,medieval,Various Authors,Medieval Handbooks of Penance
UNESCO Index Translationum,,Gregorius VII,The correspondence of Pope Gregory VII : selected letters from the Registrum,Registrum,"Emerton, Ephraim",1990,New York,Columbia University Press,United States of America,1075,medieval,Gregory VII,Correspondence of Pope Gregory VII
UNESCO Index Translationum,,"Cramer, Daniel",The Rosicrucian emblems of Daniel Cramer : the True Society of Jesus and the Rosy Cross : here are forty sacred emblems from Holy Scripture concerning the most precious name and cross of Jesus Christ,Societas Jesus et Rosae Crucis Vera,"Tait, Fiona",1991,"Grand Rapids, MICH",Phanes Press,United States of America,1620,early_modern,Daniel Cramer,Rosicrucian Emblems
UNESCO Index Translationum,,Thomas Morus,"Utopia : a revised translation, backgrounds, criticism",Utopia,"Adams, Robert Martin",1992,New York,Norton,United States of America,1516,renaissance,Thomas More,Utopia
UNESCO Index Translationum,,"Cardano, Girolamo","Ars magna, or, The rules of algebra",Ars magna,"Witmer, T. Richard",1993,New York,Dover Publications,United States of America,1545,renaissance,Girolamo Cardano,Ars Magna
UNESCO Index Translationum,,"Apuleius Madaurensis, Lucius",The god of Socrates,De deo Socratis,,1993,"Gillette, N.J.",Heptangle Books,United States of America,170,classical,Apuleius,The God of Socrates
UNESCO Index Translationum,,,"The Roman law of sale, with modern illustrations : Digest XVIII. 1 and XIX. 1",,"Mackintosh, James",1994,"Holmes Beach, FLA",WM. W. Gaunt &amp; Sons,United States of America,200,classical,Unknown,Roman Law of Sale (Digest XVIII-XIX)
UNESCO Index Translationum,,"Swedenborg, Emanuel",Apocalypse explained : according to the spiritual sense in which the arcana there predicted but heretofore concealed are revealed : a posthumous work of Emanuel Swedenborg,Apocalypsis explicata secundum sensum spiritualem,"Ager, John C.; Whitehead, John",1994,"West Chester, PA",Swedenborg Foundation,United States of America,1758,early_modern,Emanuel Swedenborg,Apocalypse Explained
UNESCO Index Translationum,,Thomas Aquinas,Truth (1:) Questions I-IX; (2:) Questions X-XX; (3:) Questions XXI-XXIX,Quaestiones disputatae de veritate,"McGlynn, James V.; Mulligan, Robert W.; Schmidt, Robert William",1994,"Indianapolis, IND",Hackett,United States of America,1272,medieval,Thomas Aquinas,Truth
UNESCO Index Translationum,,"Joannes Paulus II, Nick; Bakalar, Richard; Balkin",The wisdom of John Paul II : the Pope on life's most vital questions,,,1995,"San Francisco, CALIF",Harper San Francisco,United States of America,2000,modern,John Paul II,The Wisdom of John Paul II
UNESCO Index Translationum,,"Joannes Paulus II, Tony; Castle",The way of prayer,,,1995,New York,Crossroad,United States of America,2000,modern,John Paul II,The Way of Prayer
UNESCO Index Translationum,,"Joannes Paulus II, Tony; Castle",The way of Christ,,,1995,New York,Crossroad,United States of America,2000,modern,John Paul II,The Way of Christ
UNESCO Index Translationum,,"Joannes Paulus II, Tony; Castle",The way of love,,,1995,New York,Crossroad,United States of America,2000,modern,John Paul II,The Way of Love
UNESCO Index Translationum,,Hildegardis,Hildegard von Bingen's Mystical visions : translated from Scivias by Bruce Hozeski,Scivias,,1995,"Santa Fe, N.M.",Bear &amp; Co.,United States of America,1150,medieval,Hildegard of Bingen,Scivias (Mystical Visions)
UNESCO Index Translationum,,Thomas Aquinas,The ways of God,De divinis moribus,,1995,"Manchester, N.H.",Sophia Institute Press,United States of America,1272,medieval,Thomas Aquinas,The Ways of God
UNESCO Index Translationum,,"Vergilius Maro, Publius",Aeneid,Aeneis,"Billson, Charles J.",1995,New York,Dover Publications,United States of America,-29,classical,Virgil,Aeneid
UNESCO Index Translationum,,,The Celtic monk : rules and writings of early Irish monks,,"Ó Maidín, Uinseann",1996,"Kalamazoo, MICH",Cistercian Publications,United States of America,600,medieval,Various Authors,Rules and Writings of Early Irish Monks
UNESCO Index Translationum,,"Joannes Paulus II, Joseph G.; Donders",John Paul II : the encyclicals in everyday language,,,1996,"Maryknoll, N.Y.",Orbis Books,United States of America,1985,early_modern,John Paul II,The Encyclicals in Everyday Language
UNESCO Index Translationum,,"Gentili, Alberico",De legationibus libri tres (1:) The photographic reproduction of the edition of 1594; (2:) The translation,De legationibus libri tres,,1995,"Buffalo, N.Y.",W.S. Hein,United States of America,1594,renaissance,Alberico Gentili,De legationibus libri tres
UNESCO Index Translationum,,"Calvin, Jean; Torrance, David W.; Torrance, Thomas F.",The gospel according to St. John 1-10,In Evangelium secundum Johannem commentarius,"Parker, T. H. L.",1995,"Grand Rapids, MICH",W.B. Eerdmans,United States of America,1553,renaissance,Jean Calvin,The Gospel According to St. John
UNESCO Index Translationum,,"Calvin, Jean; Torrance, David W.; Torrance, Thomas F.","A harmony of the Gospels : Matthew, Mark and Luke",Harmonia ex tribus evangelistis composita,"Morrison, A. W.",1994,"Carlisle, PA",Paternoster Press,United States of America,1555,renaissance,Jean Calvin,Harmony of the Gospels
UNESCO Index Translationum,,"Orff, Carl; Sebesta, Judith Lynn",Carmina Burana : cantiones profanae,Carmina Burana,"Duban, Jeffrey M.",1996,"Wauconda, ILL",Bolchazy-Carducci Publishers,United States of America,1230,medieval,Unknown,Carmina Burana
UNESCO Index Translationum,,Augustinus Aurelius,"The enchiridion on faith, hope and love",Enchiridion,,1996,"Washington, D.C.",Regnery Publishing,United States of America,420,medieval,Augustine of Hippo,Enchiridion
UNESCO Index Translationum,,"Augustinus Aurelius, Dino; Bigongiari, Henry; Paolucci",The political writings of St. Augustine,,,1996,"Washington, D.C.",Regnery Publishing,United States of America,426,medieval,Augustine of Hippo,Political Writings
UNESCO Index Translationum,,"Hieronymus, Karl; Theophrastos, Ralph; Young, Traugott; Hanna, Robert A.; Lawler; Pratt",Jankyn's book of wikked wyves,,,1997,"Athens, GA",University of Georgia Press,United States of America,1382,medieval,Jerome,Jankyn's Book of Wikked Wyves
UNESCO Index Translationum,,Hildegardis,The book of the rewards of life,Liber vitae meritorum,"Hozeski, Bruce",1997,New York,Oxford University Press,United States of America,1158,medieval,Hildegard of Bingen,Liber vitae meritorum
UNESCO Index Translationum,,"Aegidius Romanus, David C.; Fowler, Charles F.; Briggs, Paul G.; Remley",The governance of kings and princes : John Trevisa's Middle English translation of the De regimine principum of Aegidius Romanus,De regimine principum,"Trevisa, John",1997,New York,Garland,United States of America,1277,medieval,Aegidius Romanus,De regimine principum
UNESCO Index Translationum,,,My basic missal,,"Trinchard, Paul",1996,"Metairie, LA",MAETA,United States of America,1962,modern,Roman Catholic Church,Basic Missal
UNESCO Index Translationum,,Joannes Paulus II,The Church in Africa : Ecclesia in Africa : and its evangelizing mission toward the year 2000,Ecclesia in Africa,,1996,"Washington, D.C.",United States Catholic Conference,United States of America,1990,modern,John Paul II,Ecclesia in Africa
UNESCO Index Translationum,,Joannes Paulus II,The gospel of life,Evangelium vitae,,1995,New York,Random House,United States of America,1995,modern,John Paul II,Evangelium vitae
UNESCO Index Translationum,,Thomas Aquinas,An introduction to the metaphysics of St. Thomas Aquinas,,"Anderson, James F.",1997,"Washington, D.C.",Regnery Publishing,United States of America,1267,medieval,Thomas Aquinas,Metaphysics
UNESCO Index Translationum,,"Swedenborg, Emanuel","Three short works : The Sacred Scripture or word of the Lord, from experience ; The Last Judgment ; The precepts of the Decalogue",,"Rogers, N. Bruce",1997,"Bryn Athyn, PA",General Church of the New Jerusalem,United States of America,1761,early_modern,Emanuel Swedenborg,Three Short Works
UNESCO Index Translationum,,"Jones, Philip B.",The Secreto de los secretos : a Castilian version,Secretum secretorum,,1995,"Potomac, MD",Scripta Humanistica,United States of America,1400,medieval,Pseudo-Aristotle,Secreto de los secretos
UNESCO Index Translationum,,"Cicero, Marcus Tullius",Letters to Atticus,Ad Atticum,"Bailey, D. R. Shackleton",1999,"Cambridge, MASS",Harvard University Press,United States of America,-44,classical,Cicero,Epistulae ad Atticum
UNESCO Index Translationum,,"Freke, Timothy; Gandy, Peter",The Hermetica : the lost wisdom of the pharaohs,,,1999,New York,Jeremy P. Tarcher,United States of America,1,classical,Hermes Trismegistus,Hermetica
UNESCO Index Translationum,,Dhuoda,Handbook for William : a Carolingian woman's counsel for her son,Liber manualis,"Neel, Carol",1999,"Washington, D.C.",Catholic University of America Press,United States of America,840,medieval,Dhuoda,Liber Manualis
UNESCO Index Translationum,,"Duns, Joannes Scotus; William of Ockham",Scotus vs. Ockham : a medieval dispute over universals,,"Tweedale, Martin M.",1999,"Lewiston, N.Y.",Edwin Mellen Press,United States of America,1310,medieval,John Duns Scotus; William of Ockham,Dispute over Universals
UNESCO Index Translationum,,Joannes Paulus II,Apostolic letter Dies Domini : guide to keeping Sunday holy,Dies domini,,1998,"Chicago, ILL",Liturgy Training Publications,United States of America,1998,modern,John Paul II,Dies Domini
UNESCO Index Translationum,,"Thomas à Kempis, Clare L.; Fitzpatrick",The imitation of Christ in four books,Imitatio Christ,,1993,New York,Catholic Book Publishing Co.,United States of America,1427,medieval,Thomas à Kempis,Imitatio Christi
UNESCO Index Translationum,,Thomas Aquinas,Virtue : way to happiness,Summa theologica,"Regan, Richard J.",1999,"Scranton, PA",University of Scranton Press,United States of America,1267,medieval,Thomas Aquinas,Virtue and Happiness
UNESCO Index Translationum,,"Newton, Isaac; Barnett, S.J.",Isaac Newton's observations on the prophecies of Daniel and the Apocalypse of St. John : a critical edition,,,1999,"Lewiston, N.B.",Edwin Mellen Press,United States of America,1733,early_modern,Isaac Newton,Observations on the Prophecies of Daniel
UNESCO Index Translationum,,"Cordara, Giulio Cesare",On the suppression of the Society of Jesus : a contemporary account,De suppressione Societatis Iesu commentarii,"Murphy, John P.",1999,"Chicago, ILL",Jesuit Way,United States of America,1777,early_modern,Giulio Cesare Cordara,On the Suppression of the Society of Jesus
UNESCO Index Translationum,,Theodoretus,Commentary on the Psalms (1:) Psalms 1-72; (2:) Psalms 73-150,,"hill, Robert C.",2000,"Washington, D.C.",Catholic University of America Press,United States of America,420,medieval,Theodoret of Cyrus,Commentary on the Psalms
UNESCO Index Translationum,,"Joannes Paulus II, Achille; Silvestrini, Jerome M.; Vereb",A pilgrim pope : messages for the world,,,1999,"Kansas City, MO",Andrews McMeel,United States of America,1999,modern,John Paul II,A Pilgrim Pope
