pub_year,record_type,confidence,identifier,title,creator,publisher,subject,language,ia_url,description,collection
1957,bilingual_edition,100,cityofgodagainst0000augu_o7u5,The city of God against the pagans,"Augustine, of Hippo, Saint, 354-430","Cambridge, Harvard University Press",Kingdom of God -- Early works to 1800; Apologetics -- Early works to 1800; Royaume de Dieu; Apologétique -- Ouvrages avant 1800; Apologetics; Kingdom of God,eng; lat,https://archive.org/details/cityofgodagainst0000augu_o7u5,"7 volumes 17 cm; AUGUSTINUS (A.D. 354-430), son of a pagan Patricius of Tagaste in North Africa and his Christian wife Monica, while studying in Africa to become a rhetorician, plunged into a turmoil of philosophical and psychological doubts in search of truth, joining for a time the Manichaean society. He became a teacher of grammar at Tagaste, and lived much under the influence of his mother and his friend Alypius. About 383 he went to Rome and soon after to Milan as a teacher of rhetoric, being now attracted by the philosophy of the Sceptics and of the Neo-Platonists. His studies of Pauls letters with Alypius and the preaching of Bishop Ambrose led in 386 to his rejection of all sensual habits and to his famous conversion from mixed beliefs to Christianity. After a year in Rome again and his mothers death he returned to Tagaste and there founded a religious community. In 395 or 396 he became Bishop of Hippo, and was henceforth engrossed in duties, writing and controversy. He died at Hippo during the successful siege by the Vandals. From his large output the Loeb Classical Library offers that great autobiography the Confessions which reveal Gods action in man; On the City of God which unfolds Gods action in the progress of the worlds history, and propounds the superiority of Christian beliefs over Pagan in adversity; and some of the Letters which are important for the study of ecclesiastical history and Augustines relations with other theologians; Latin and English on opposite pages; Includes bibliographical references (v. 1, pages lxxxiii-lxxxix); 1. Books 1-3, translated by G.E. McCracken. -- 2. Books 4-7, translated by W.M. Green. -- 3. Books 8-11, translated by D.S. Wiesen. -- 4. Books 12-15, translated by P. Levine. -- 5. Book 16-book 18, chapters 1-35, translated by E.M. Sanford and W.M. Green. -- 6. Book 18, chapter 36-book 20, translated by W.C. Greene. -- 7. Books 21-22, translated by W.M. Green, and an index to City of God by W.M. Green",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-dmartinotti; fav-joantb; fav-matt_evans311; fav-palingenes; fav-pursuerofknowledge; fav-rkahramanyol
1957,bilingual_edition,100,philippics0000cice,Philippics,"Cicero, Marcus Tullius",Cambridge : Harvard University Press ; London : Heinemann,,lat; eng,https://archive.org/details/philippics0000cice,"xii, 655 p. --; Latin and English on opposite pages; First published 1926; Includes bibliographical references and index",trent_university; internetarchivebooks; printdisabled; fav-clavius; fav-egopro; fav-philoalphabet
1958,bilingual_edition,100,letterstohisfrie0000cice,"Letters to his friends, with an English translation by W. Glynn Williams. --","Cicero, Marcus Tullius","Cambridge, Harvard University Press, 1958-60",,eng; lat,https://archive.org/details/letterstohisfrie0000cice,3 v. port. ; 17 cm; Latin and English on opposite pages. Bibliographical footnotes,trent_university; internetarchivebooks; inlibrary; printdisabled; fav-egopro; fav-loebelyphd
1958,bilingual_edition,100,letterstohisfrie0003cice,"Letters to his friends, with an English translation by W. Glynn Williams. --","Cicero, Marcus Tullius","Cambridge, Harvard University Press, 1958-60",,eng; lat,https://archive.org/details/letterstohisfrie0003cice,3 v. port. ; 17 cm; Latin and English on opposite pages. Bibliographical footnotes,trent_university; internetarchivebooks; inlibrary; printdisabled; fav-egopro; fav-michellewb
1958,bilingual_edition,100,letterstohisfrie0002cice,"Letters to his friends, with an English translation by W. Glynn Williams. --","Cicero, Marcus Tullius","Cambridge, Harvard University Press, 1958-60",,eng; lat,https://archive.org/details/letterstohisfrie0002cice,3 v. port. ; 17 cm; Latin and English on opposite pages. Bibliographical footnotes,trent_university; internetarchivebooks; inlibrary; printdisabled; fav-egopro
1958,bilingual_edition,100,speeches0002cice,Speeches,"Cicero, Marcus Tullius","Cambridge, Harvard University Press, 1958-65",,eng; lat,https://archive.org/details/speeches0002cice,"2 v. (xx, 758 p.) ; 17 cm; Latin and English on opposite pages; v. 1. Pro Sestio.- In Vatinium. v. 2. Pro Caelio.- De provinciis consularibus.- Pro Balbo",trent_university; internetarchivebooks; inlibrary; printdisabled; fav-egopro; fav-flintstone1; fav-jose_antonio_aparicio_florido; fav-nik4o7; fav-philoalphabet
1958,bilingual_edition,100,speeches0000cice,Speeches,"Cicero, Marcus Tullius","Cambridge, Harvard University Press, 1958-65",,eng; lat,https://archive.org/details/speeches0000cice,"2 v. (xx, 758 p.) ; 17 cm; Latin and English on opposite pages; v. 1. Pro Sestio.- In Vatinium. v. 2. Pro Caelio.- De provinciis consularibus.- Pro Balbo",trent_university; internetarchivebooks; inlibrary; printdisabled; fav-clara_ahnert; fav-egopro; fav-joantb; fav-masonwards66; fav-rip_thorn
1961,bilingual_edition,100,cicerodeofficiis0000cice,"Cicero De officiis, with an English translation","Cicero, Marcus Tullius","Cambridge, Mass., Harvard University Press",Ethics,eng; lat,https://archive.org/details/cicerodeofficiis0000cice,"xvi, 423 pages 17 cm; English and Latin on opposite pages; Includes bibliographical references (pages xiii-xvi)",claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled; fav-adamg142; fav-availableswiss; fav-e_blackadder; fav-gamatet; fav-jlb625; fav-l_bardin; fav-olsjoh
1961,bilingual_edition,100,speechespropubli0000cice,"Speeches : Pro Publio Quinctio, Pro Sexto Roscio Amerino, Pro Quinto Roscio Comoedo, De lege agraria I, II, III. With an English translation by John Henry Freese. --","Cicero, Marcus Tullius","Cambridge, Mass., Harvard University Press [1961]",,eng; lat,https://archive.org/details/speechespropubli0000cice,"viii, 503 p. ; 25 cm; Latin and English on opposite pages. Bibliography: p. 9",trent_university; internetarchivebooks; inlibrary; printdisabled; fav-egopro; fav-hawkseked222; fav-joantb; fav-martinus_scriblerus732; fav-sugam_pokharel; fav-weber901
1961,bilingual_edition,100,minorlatinpoets0000duff,Minor Latin poets,"Duff, J. Wight (John Wight), 1866-1944","Cambridge, Mass. : Harvard University Press",English poetry -- Translations from Latin; Latin poetry -- Translations into English; Latin poetry,eng,https://archive.org/details/minorlatinpoets0000duff,"xiii, 838 p. --; Latin and English on opposite pages; First published 1934; Includes bibliographical references and index",trent_university; internetarchivebooks; inlibrary; printdisabled; fav-egopro; fav-gamatet; fav-megairea; fav-tiagonap; fav-vykttor; fav-yurislva
1961,bilingual_edition,100,stratagemsaquedu0000fron,"The Stratagems, and the Aqueducts of Rome. With an English translation by Charles E. Bennett, the translation of the Aqueducts being a revision of that of Clemens Herschel. Edited and prepared for the press by Mary B. McElwain","Frontinus, Sextus Julius","Cambridge, Harvard University Press",Military art and science -- Early works to 1800; Water-supply -- Early works to 1800; Military art and science; Water-supply; Rome (Italy) -- Water-supply; Italy -- Rome,eng; lat,https://archive.org/details/stratagemsaquedu0000fron,"xl, 483 pages frontispiece, maps ; 17 cm; Latin and English on opposite pages. Bibliography: p. xxxv-xl; Includes bibliographical references (pages xxxv-xl)",claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled; fav-aristo25; fav-ibrahim_atl_; fav-nv_pratap_reddy; fav-pacer23; fav-pendor11
1962,bilingual_edition,100,lucan0000luca,Lucan;,"Lucan, 39-65","Cambridge, Mass., Harvard University Press","Pharsalus, Battle of, Farsala, Greece, 48 B.C; Rome -- History -- Civil War, 49-45 B.C; Greece -- Farsala; Rome (Empire)",eng; lat,https://archive.org/details/lucan0000luca,"xv, 637 pages 17 cm; Latin and English on opposite pages",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-user_35714
1963,bilingual_edition,100,heroidesamores0000ovid,Heroides and Amores,"Ovid, 43 B.C.-17 A.D. or 18 A.D","Cambridge, Mass., Harvard University Press","Ovid, 43 B.C.-17 A.D. or 18 A.D. -- Translations into English; Ovid, 43 B.C.-17 A.D. or 18 A.D",eng; lat,https://archive.org/details/heroidesamores0000ovid,523 pages 17 cm; Latin and English on opposite pages; Includes bibliographical references (pages 5-6),claremont_school_of_theology; internetarchivebooks; printdisabled; fav-e_blackadder; fav-gamatet; fav-hawkseked222; fav-jns18; fav-john_mcgee849; fav-la_bere
1963,bilingual_edition,100,poemsletters0001sido,Poems and letters,"Sidonius, C. Sollius Modestus Appollinaris","Cambridge, Mass. : Harvard University Press ; London : W. Heinemann",,eng; lat,https://archive.org/details/poemsletters0001sido,"2v.. ; 17 cm; Latin and English on opposite pages; Bibliography : v.1, p.lxviii-lxxiv, and v.2, p.x",trent_university; internetarchivebooks; printdisabled; fav-egopro
1964,bilingual_edition,100,cicerodesenectut0000cice,"Cicero. De senectute, De amicitia, De divinatione","Cicero, Marcus Tullius","Cambridge, Mass., Harvard University Press",Old age; Friendship; Divination,eng; lat,https://archive.org/details/cicerodesenectut0000cice,"viii, 567 pages 17 cm; Latin and English on opposite pages; Includes bibliographical references",claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled; fav-adamg142; fav-d_juazeiro; fav-e_blackadder; fav-gamatet; fav-iulia_parausanu; fav-loryenipsum; fav-rodrigo_costa163; fav-sons_of_atreus
1964,bilingual_edition,100,desenectutedeami0000cice,"De senectute, De amicitia De divinatione","Cicero, Marcus Tullius","Cambridge, Mass. : Harvard University Press ; London : Heinemann",,lat; eng,https://archive.org/details/desenectutedeami0000cice,"viii, 567 p. --; Latin and English on opposite pages; Reprint of the 1923 ed; Includes bibliographical references and indexes",trent_university; internetarchivebooks; inlibrary; printdisabled; fav-egopro; fav-rip_thorn; fav-shmhz72
1964,bilingual_edition,100,stthomasaquinass0041unse,"Summa theologiae : Latin text and English translation, introductions, notes, appendices, and glossaries","Thomas, Aquinas, Saint, 1225?-1274","[Cambridge, England] : Blackfriars ; New York : McGraw-Hill","Theology, Doctrinal -- Early works to 1800; Théologie; Theology, Doctrinal",eng; lat,https://archive.org/details/stthomasaquinass0041unse,61 volumes ; 23 cm; Later volumes have imprint: London : Eyre & Spottiswoode; Includes bibliographical references; Edited by Thomas Gilby [and others],marygrovecollege; internetarchivebooks; americana; inlibrary; printdisabled; fav-bernz_ordo_ez_caasi; fav-bombachim; fav-cwgideons; fav-dak1685; fav-drake_barnhill; fav-fancyassasin; fav-federica_magagnino; fav-moseydwindler; fav-shwirtzeet; fav-sovereign_sorcerer; fav-stephen_nazaran; fav-v_palenyy; fav-wong_tsz_yeung; fav-zolt_n_n_ndor_ay; binghamton-ol; the-claremont-colleges-ol; unb-ol; uni-ol
1964,bilingual_edition,100,summatheologiael0028thom,"Summa theologiae : Latin text and English translation, introductions, notes, appendices, and glossaries","Thomas, Aquinas, Saint, 1225?-1274",London : Blackfriars in conjunction with Eyre & Spottiswood ; New York : McGraw-Hill,"Theology, Doctrinal -- Early works to 1800",eng; lat,https://archive.org/details/summatheologiael0028thom,60 volumes ; 23 cm; Includes bibliographies and indexes,internetarchivebooks; inlibrary; printdisabled; fav-e_blackadder; fav-pj2020
1965,bilingual_edition,100,babriusphaedrusn0000unse,"Babrius and Phaedrus : newly edited and translated into English, together with an historical introduction and a comprehensive survey of Greek and Latin fables in the Aesopic tradition",,"London : W. Heinemann ; Cambridge, Massachusetts : Harvard University Press","Aesop; Babrius, Caius Julius, (01.-02.); Aesop's fables; Fables, Classical; Classical poetry; Fables grecques",eng; grc; lat,https://archive.org/details/babriusphaedrusn0000unse,"cii, 634 pages ; 17 cm; BABRIUS is the reputed author of a collection (discovered in the 19th century) of more than 125 fables based on 'Aesop's', in Greek verse. He may have been a 'Hellenised' Roman living in Asia Minor during the late 1st century after Christ. The fables are all in one metre and in very good style, terse, humorous and pointed. Some are original. PHAEDRUS, born in Macedonia, flourished in the early half of the 1st century after Christ. Apparently a slave set free by the Emperor Augustus (died A.D. 14) he lived in Italy and began to write 'Aesopian' fables. When he offended Sejanus the powerful official of the Emperor Tiberius, he was punished, but not silenced. The fables, in 5 books, are in lively terse and simple Latin verse not lacking in dignity. They not only amuse and teach but also satirise social and political life in Rome. In the later Middle Ages he was forgotten except in prose-versions of the fables; Greek and English or Latin and English on opposite pages; Includes bibliographical references, appendix, and indexes; INTRODUCTION: The aesopic fable in antiquity. Nature and origin of fable. Aesop. Babrius. Phaedrus -- BABRIUS: Introduction. Text and translation of the metrically extant fables -- PHAEDRUS: Introduction. Text and translation of the metrically extant fables -- APPENDIX: An analytical survey of Greek and Latin fables in the Aesopic tradition -- INDICES: Index of fables. Index of proper nouns and adjectives occurring within the fables",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-amsii; fav-c777; fav-john_e_cantey; fav-manikant_kant; fav-ravi_id; fav-red_science; fav-robert_j_ward; fav-sanaa_parween; fav-supersupergood; fav-tophatvillain; ambslibrary-ol; binghamton-ol; cua-ol; gwulibraries-ol; johnshopkins-ol; randolph-macon-college-ol; the-claremont-colleges-ol; unb-ol; wrlc-ol
1965,bilingual_edition,100,speeches0000cice_g8r8,The speeches,"Cicero, Marcus Tullius","Cambridge, Mass. : Harvard University Press",,eng; lat,https://archive.org/details/speeches0000cice_g8r8,"vii, 550 pages ; 17 cm; First printed 1923; Text in Latin and English on opposite pages; Includes bibliographical references and index; Pro Archia poeta -- Post reditum in senatu -- Post reditum ad quirites -- De domo sua -- De haruspicum responsis -- Pro Plancio",claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled
1965,bilingual_edition,100,poemsletterswith0001sido,Poems and letters; with an English translation,"Sidonius, C. Sollius Modestus Apollinaris","Cambridge, Mass., Harvard University Press; London, W. Heinemann Ltd.",Latin language materials -- Bilingual,eng; lat,https://archive.org/details/poemsletterswith0001sido,"2 volumes 17 cm; Latin and English; Includes bibliographical references (v. 1, pages lxviii-lxxiv); Imprint varies; v. 1. Poems. Letters, Books I-II.-v. 2. Letters, Books III-IX",claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled; fav-e_blackadder; fav-excaelo; fav-pf55674
1965,bilingual_edition,100,poemsletterswith0002sido,Poems and letters; with an English translation,"Sidonius, C. Sollius Modestus Apollinaris","Cambridge, Mass., Harvard University Press; London, W. Heinemann Ltd.",Latin language materials -- Bilingual,eng; lat,https://archive.org/details/poemsletterswith0002sido,"2 volumes 17 cm; Latin and English; Includes bibliographical references (v. 1, pages lxviii-lxxiv); Imprint varies; v. 1. Poems. Letters, Books I-II.-v. 2. Letters, Books III-IX",claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled; fav-patricks153
1966,bilingual_edition,100,catullustibullus0000catu_s0m0,"Catullus, Tibullus, and Pervigilium Veneris","Catullus, Gaius Valerius","Cambridge, Mass. : Harvard University Press ; London : W. Heinemann","Catullus, Gaius Valerius -- Translations into English; Tibullus -- Translations into English; Catullus, Gaius Valerius; Tibullus",eng,https://archive.org/details/catullustibullus0000catu_s0m0,"xiv, 379 pages ; 17 cm; Latin and English on opposite pages; The poems of Gaius Valerius Catullus, translated by F.W. Cornish; Tibullus, by J.P. Postgate; and Pervigilium Veneris, by J.W. Mackail; Includes bibliographical references and indexes; Revised and reprinted in 1962; The poems of Gaius Valerius Catullus /translated by F.W. Cornish. -- Tibullus /translated by J.P. Postgate. -- Pervigilium Veneris /translated by J.W. Mackail",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-antonyliber; fav-archive_org652; fav-gamatet; fav-raesides
1967,bilingual_edition,100,livy0010livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0010livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-bostonuniversity; fav-sebsonat; fav-stumpyturtle
1967,bilingual_edition,100,livy0001livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0001livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-anglicusdoctus; fav-avoidseeing; fav-jns18; fav-joe_crab_t; fav-koolobo2; fav-littleboots03; fav-mczonie; fav-mfadls; fav-mrpuddings; fav-natashie_f; fav-steve518855; fav-valvalerian; brynmawr-ol; rochester-ol; the-claremont-colleges-ol; universityofoklahoma-ol
1967,bilingual_edition,100,livy0014livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0014livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-stumpyturtle
1967,bilingual_edition,100,livy0004livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0004livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-bostonuniversity; fav-lilithinferno
1967,bilingual_edition,100,livy0012livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0012livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-bostonuniversity; fav-stumpyturtle
1967,bilingual_edition,100,livy0011livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0011livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-bostonuniversity; fav-teal_otter
1967,bilingual_edition,100,livy0013livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0013livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-bostonuniversity; fav-cirezx; fav-teal_otter
1967,bilingual_edition,100,livy0003livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0003livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-bostonuniversity; fav-rehab_mohmmed
1967,bilingual_edition,100,livy0006livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0006livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-bostonuniversity; fav-dan201455
1967,bilingual_edition,100,livy0007livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0007livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-bostonuniversity; fav-fr_david_stevens; fav-hawkseked222; fav-litcrav
1967,bilingual_edition,100,livy0008livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0008livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled
1967,bilingual_edition,100,livy0005livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0005livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-stumpyturtle
1967,bilingual_edition,100,livy0009livy,Livy,Livy,"Cambridge, MA : Harvard University Press",Rome -- History; Rome (Empire),eng; lat,https://archive.org/details/livy0009livy,"14 volumes : 17 cm; Latin and English on opposite pages; Includes index; v. 14. Summaries, fragments, and obsequens, translated by Alfred C. Schlesinger, with a general index to Livy by Russel M. Geer",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-flintstone1; fav-momotom; fav-rlt_wfi; fav-stumpyturtle; fav-user_35714
1967,bilingual_edition,100,sixtypoemsofmart0000unse,"Sixty poems of Martial, in translation","Martial, author","New York, Harcourt, Brace & World","Epigrams, Latin -- Translations into English; Epigrams, Latin; Rome -- Poetry; Rome (Empire)",eng,https://archive.org/details/sixtypoemsofmart0000unse,"xiii, 127 pages 21 cm; Selections, in Latin and English, from the Epigrammata of Martial; commitment to retain 20151204; To ligurinus, relentlessly a poet. -- To procillus, who pours his drinks into the rubber plant. -- To catulla. -- Themison's got it made. -- Local products preferred. -- Distinction. -- The ultimatum. -- Vicissitude. -- Bull's-eye. -- Madrigal for two voices. -- A poetry reading. -- Amende, of sorts. -- To his mistress, that she should be coy. -- Negative capability. -- To Polla, that she should leave ill enough alone. -- Simple aveu. -- Words from a sash. -- Dear Plycharmus. -- Valentine. -- To a detractor. -- Lux et veritas. -- Phyllis is a straight shooter. -- Remonstrate. -- Charge it, please. -- To Pollio, nocturnally euphoric. -- Conversation. -- To an aspiring colleague. -- Every man his own Absalom. -- Aphrodite Katadyomene. -- To a brother poet; '...Are many mansions'. -- On Chloe, a widow too frequent. -- Information requested & supplied. -- Epigram reduced. -- On a painting of Danae in the golden rain. -- On a painting of Europa and the bull. -- Literary query. -- Statement. -- 'Take, oh take those lips away'. -- Too late for herpicide. -- To chloe. -- To Apicius, whose tastes are odd. -- Papylus's best friends won't tell him. -- To Chione, ambiguously prudent. -- Lines written in dejection near a hen-coop. -- A double valentine. -- To a censorious critic. -- A marital declaration. -- To Quintus, one of many. -- Society note. -- On Zoilus, a linguist. -- Clinical note. -- Penny-pincher. -- Why Mr. Coons reads a novels all night. -- To a bragging rival. -- To one of shifting moods. -- Civitas solitudo. -- To an elderly but still enthusiastic lady. -- To his critics. -- An author to any friend",marygrovecollege; internetarchivebooks; americana; inlibrary; printdisabled; fav-dmitri787; fav-greyeminence; fav-liyber_galindo
1967,bilingual_edition,100,ovidsfasti0000ovid,Ovid's Fasti,"Ovid, 43 B.C.-17 A.D. or 18 A.D","Cambridge, Mass., Harvard University Press","Ovid, 43 B.C.-17 A.D. or 18 A.D. -- Translations into English; Ovid, 43 B.C.-17 A.D. or 18 A.D",eng; lat,https://archive.org/details/ovidsfasti0000ovid,"xxxii, 460 pages 17 cm; Latin and English",claremont_school_of_theology; internetarchivebooks; inlibrary; printdisabled; fav-e_blackadder; fav-hawkseked222; fav-jlawless13; fav-reich9
1967,bilingual_edition,100,naturalhistory0000plin,Natural history,"Pliny, the Elder","Cambridge, Harvard University Press",Natural history -- Pre-Linnean works; Natural history; Historia Antiga,eng; lat,https://archive.org/details/naturalhistory0000plin,"volumes 17 cm; Latin and English on opposite pages; Vols. 6-8 translated by W.H.S. Jones; In v. 4, London, W. Heinemann precedes the Cambridge imprint; 1. Books I-II.--2. Books III-VII.--3. Books VIII-XI.--4. Books XII-XVI.--5. Books XVII-XIX.--6. Books XX-XXIII.--7. Books XXIV-XXVII.--8. Books XXVIII-XXXII.--9. Books XXXIII-XXXV",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-kapka2592; fav-lisette_b529; fav-reich9
1967,bilingual_edition,100,naturalhistory0010plin_r3x5,Natural history,"Pliny, the Elder","Cambridge, Harvard University Press",Natural history -- Pre-Linnean works; Natural history; Historia Antiga,eng; lat,https://archive.org/details/naturalhistory0010plin_r3x5,"volumes 17 cm; Latin and English on opposite pages; Vols. 6-8 translated by W.H.S. Jones; In v. 4, London, W. Heinemann precedes the Cambridge imprint; 1. Books I-II.--2. Books III-VII.--3. Books VIII-XI.--4. Books XII-XVI.--5. Books XVII-XIX.--6. Books XX-XXIII.--7. Books XXIV-XXVII.--8. Books XXVIII-XXXII.--9. Books XXXIII-XXXV",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-g_lnur_zer; fav-gtpatten; fav-lisette_b529; fav-reich9; fav-sebsonat; fav-zenonluis
1967,bilingual_edition,100,naturalhistory0006plin_n2h5,Natural history,"Pliny, the Elder","Cambridge, Harvard University Press",Natural history -- Pre-Linnean works; Natural history; Historia Antiga,eng; lat,https://archive.org/details/naturalhistory0006plin_n2h5,"volumes 17 cm; Latin and English on opposite pages; Vols. 6-8 translated by W.H.S. Jones; In v. 4, London, W. Heinemann precedes the Cambridge imprint; 1. Books I-II.--2. Books III-VII.--3. Books VIII-XI.--4. Books XII-XVI.--5. Books XVII-XIX.--6. Books XX-XXIII.--7. Books XXIV-XXVII.--8. Books XXVIII-XXXII.--9. Books XXXIII-XXXV",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-kapka2592; fav-lisette_b529; fav-lucian_campos808; fav-lucyamhx; fav-reich9
1967,bilingual_edition,100,naturalhistory0007plin,Natural history,"Pliny, the Elder","Cambridge, Harvard University Press",Natural history -- Pre-Linnean works; Natural history; Historia Antiga,eng; lat,https://archive.org/details/naturalhistory0007plin,"volumes 17 cm; Latin and English on opposite pages; Vols. 6-8 translated by W.H.S. Jones; In v. 4, London, W. Heinemann precedes the Cambridge imprint; 1. Books I-II.--2. Books III-VII.--3. Books VIII-XI.--4. Books XII-XVI.--5. Books XVII-XIX.--6. Books XX-XXIII.--7. Books XXIV-XXVII.--8. Books XXVIII-XXXII.--9. Books XXXIII-XXXV",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-g_lnur_zer; fav-joao_vitor_macedo; fav-lisette_b529
1967,bilingual_edition,100,naturalhistory0003plin_e4a9,Natural history,"Pliny, the Elder","Cambridge, Harvard University Press",Natural history -- Pre-Linnean works; Natural history; Historia Antiga,eng; lat,https://archive.org/details/naturalhistory0003plin_e4a9,"volumes 17 cm; Latin and English on opposite pages; Vols. 6-8 translated by W.H.S. Jones; In v. 4, London, W. Heinemann precedes the Cambridge imprint; 1. Books I-II.--2. Books III-VII.--3. Books VIII-XI.--4. Books XII-XVI.--5. Books XVII-XIX.--6. Books XX-XXIII.--7. Books XXIV-XXVII.--8. Books XXVIII-XXXII.--9. Books XXXIII-XXXV",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-kapka2592; fav-lisette_b529; fav-lucyamhx; fav-reich9
1967,bilingual_edition,100,naturalhistory0002plin,Natural history,"Pliny, the Elder","Cambridge, Harvard University Press",Natural history -- Pre-Linnean works; Natural history; Historia Antiga,eng; lat,https://archive.org/details/naturalhistory0002plin,"volumes 17 cm; Latin and English on opposite pages; Vols. 6-8 translated by W.H.S. Jones; In v. 4, London, W. Heinemann precedes the Cambridge imprint; 1. Books I-II.--2. Books III-VII.--3. Books VIII-XI.--4. Books XII-XVI.--5. Books XVII-XIX.--6. Books XX-XXIII.--7. Books XXIV-XXVII.--8. Books XXVIII-XXXII.--9. Books XXXIII-XXXV",claremont_school_of_theology; internetarchivebooks; printdisabled; fav-djseaquist; fav-fahimshik_emel; fav-lisette_b529; fav-nora311; fav-sebsonat; fav-simoncgn1982
